stock,entry,sl,tp,rr,trend,volume,momentum,rsi,vwap,score,date,time,result
WIPRO,210.12,209.34,215.37,,0.0025,2.29,0.003,67.3,208.66,71.71,2026-06-02,12:00,STALE
ZENSARTECH,522.3,519.0,535.36,,0.0049,3.24,0.0044,63.7,520.25,96.47,2026-06-02,12:00,STALE
ZENTEC,1678.0,1661.9,1719.95,,0.007,2.4,0.005,57.2,1647.54,95.92,2026-06-02,12:00,STALE
INDNIPPON,908.0,890.55,930.7,,0.0077,3.36,0.0058,63.8,902.01,100.0,2026-06-03,07:35,STALE
SILINV,424.0,419.0,434.6,,0.0074,,0.0119,60.7,419.62,,2026-06-03,07:39,STALE
AETHER,1143.0,1135.0,1171.57,,0.0034,1.81,0.0038,57.8,1134.45,73.01,2026-06-03,12:21,STALE
AJAXENGG,597.8,594.7,612.74,,0.0034,6.38,0.0031,59.2,596.67,82.33,2026-06-03,12:21,STALE
AMBIKCO,1714.9,1701.8,1757.77,,0.0041,5.84,0.0043,59.7,1697.01,91.99,2026-06-03,12:21,STALE
ARMANFIN,1577.0,1565.0,1616.42,,0.0044,1.98,0.0045,66.1,1572.34,83.87,2026-06-03,12:22,STALE
ASKAUTOLTD,439.0,436.35,449.97,,0.0042,2.14,0.0045,60.3,437.25,85.51,2026-06-03,12:22,STALE
BALMLAWRIE,182.99,181.74,187.56,,0.0046,5.19,0.0056,69.6,181.84,98.13,2026-06-03,12:22,STALE
BHARATRAS,1444.8,1430.0,1480.92,,0.0025,3.2,0.0031,67.7,1435.15,77.95,2026-06-03,12:23,STALE
COSMOFIRST,742.5,738.0,761.06,,0.0065,2.52,0.0047,64.7,732.68,96.52,2026-06-03,12:23,STALE
CPPLUS,3374.3,3340.1,3458.66,,0.0079,1.82,0.0052,65.3,3312.24,87.24,2026-06-03,12:23,STALE
CRAMC,249.9,246.68,256.15,,0.0045,2.92,0.0054,60.1,248.2,97.41,2026-06-03,12:24,STALE
DHARMAJ,287.0,283.45,294.17,,0.0086,3.63,0.0086,69.9,284.83,100.0,2026-06-03,12:24,STALE
DRAGARWQ,5183.8,5040.1,5313.39,,0.0195,4.1,0.0244,66.6,5072.54,100.0,2026-06-03,12:24,STALE
EFCIL,177.99,175.74,182.44,,0.0054,1.51,0.0045,64.5,175.62,79.88,2026-06-03,12:24,STALE
EIHAHOTELS,303.0,300.1,310.57,,0.0035,2.94,0.0085,56.6,301.09,92.35,2026-06-03,12:24,STALE
EMCURE,1705.0,1695.6,1747.62,,0.0023,2.66,0.0032,54.9,1703.87,77.38,2026-06-03,12:24,STALE
EMMVEE,328.6,324.8,336.82,,0.006,4.37,0.0087,64.0,323.05,100.0,2026-06-03,12:24,STALE
EUROBOND,185.43,183.0,190.07,,0.007,6.35,0.0078,55.0,184.06,100.0,2026-06-03,12:25,STALE
EXCELINDUS,930.5,919.85,953.76,,0.0083,2.75,0.0049,63.2,919.41,99.3,2026-06-03,12:25,STALE
GENESYS,267.75,265.65,274.44,,0.0058,2.88,0.0043,71.5,264.9,96.57,2026-06-03,12:25,STALE
GMRAIRPORT,99.15,98.47,101.63,,0.0046,3.02,0.0032,69.8,98.54,89.26,2026-06-03,12:25,STALE
HGS,409.0,403.1,419.22,,0.0104,1.65,0.009,68.2,402.55,84.72,2026-06-03,12:26,STALE
HIRECT,1125.0,1114.1,1153.12,,0.0047,3.23,0.007,56.7,1113.06,98.35,2026-06-03,12:26,STALE
INGERRAND,3771.7,3743.7,3865.99,,0.0056,2.72,0.0058,66.5,3743.33,100.0,2026-06-03,12:27,STALE
INOXWIND,83.25,82.78,85.33,,0.0038,1.68,0.0036,60.0,82.73,72.27,2026-06-03,12:27,STALE
IRCON,135.75,134.95,139.14,,0.0049,1.63,0.0056,64.7,134.32,84.08,2026-06-03,12:27,STALE
JNKINDIA,385.95,380.0,395.6,,0.0133,2.82,0.0081,64.7,372.77,100.0,2026-06-03,12:27,STALE
JTLIND,66.15,65.7,67.8,,0.0052,3.54,0.0053,66.9,65.8,100.0,2026-06-03,12:27,STALE
KARURVYSYA,290.0,288.4,297.25,,0.0042,2.0,0.0038,70.3,287.87,80.12,2026-06-03,12:27,STALE
KPIL,1290.0,1282.1,1322.25,,0.0069,7.04,0.003,70.8,1270.78,90.16,2026-06-03,12:28,STALE
LICHSGFIN,542.45,538.6,556.01,,0.0038,2.3,0.0053,56.6,535.76,88.67,2026-06-03,12:28,STALE
LICI,404.5,401.2,414.61,,0.0055,3.36,0.0068,68.7,400.57,100.0,2026-06-03,12:28,STALE
LLOYDSENT,67.51,66.96,69.2,,0.0028,6.47,0.0051,56.0,66.95,88.84,2026-06-03,12:28,STALE
MAHSEAMLES,610.6,608.0,625.86,,0.0027,3.41,0.0039,53.2,606.61,82.99,2026-06-03,12:28,STALE
NITINSPIN,507.8,503.95,520.49,,0.0041,2.54,0.006,64.6,505.61,93.85,2026-06-03,12:29,STALE
NRBBEARING,358.95,355.05,367.92,,0.0078,3.76,0.0094,66.4,355.9,100.0,2026-06-03,12:30,STALE
PAGEIND,37735.0,37450.0,38678.38,,0.0051,3.88,0.0065,69.5,37574.71,100.0,2026-06-03,12:30,STALE
PGIL,1645.0,1629.0,1686.12,,0.0079,3.05,0.0064,74.0,1625.33,100.0,2026-06-03,12:30,STALE
PIONRINV,107.82,101.12,110.52,,0.0213,,0.0499,69.8,105.53,,2026-06-03,12:30,STALE
PREMEXPLN,667.0,639.0,683.67,,0.0319,8.2,0.043,74.8,646.39,100.0,2026-06-03,12:31,STALE
PROZONER,52.0,50.9,53.3,,0.0135,5.06,0.0099,71.2,50.89,100.0,2026-06-03,12:31,STALE
RAILTEL,319.05,314.65,327.03,,0.0107,3.95,0.0097,65.5,314.2,100.0,2026-06-03,12:31,STALE
RANEHOLDIN,1490.1,1472.5,1527.35,,0.0072,3.65,0.0093,62.9,1471.92,100.0,2026-06-03,12:31,STALE
ROSSTECH,1079.9,1064.1,1106.9,,0.0077,2.73,0.0049,59.3,1065.21,99.66,2026-06-03,12:31,STALE
SANGAMIND,532.05,526.55,545.35,,0.0073,2.72,0.0056,64.5,524.4,100.0,2026-06-03,12:32,STALE
SGFIN,582.0,575.1,596.55,,0.0095,4.3,0.0083,70.2,570.82,100.0,2026-06-03,12:32,STALE
SHEMAROO,112.44,108.05,115.25,,0.0189,6.8,0.0039,60.3,109.74,94.64,2026-06-03,12:32,STALE
SIKA,907.8,895.2,930.49,,0.0068,5.25,0.0048,64.2,896.53,98.8,2026-06-03,12:32,STALE
SKMEGGPROD,247.1,240.13,253.28,,0.0223,2.66,0.0183,72.2,237.85,99.89,2026-06-03,12:33,STALE
SMCGLOBAL,60.45,59.27,61.96,,0.0139,4.29,0.0156,63.1,59.42,100.0,2026-06-03,12:33,STALE
STYLAMIND,2989.8,2964.5,3064.55,,0.007,1.63,0.0031,74.8,2956.91,74.79,2026-06-03,12:33,STALE
SWELECTES,661.95,651.1,678.5,,0.0095,3.01,0.0047,65.3,653.2,98.53,2026-06-03,12:33,STALE
TCI,934.0,928.55,957.35,,0.0032,2.3,0.0043,52.4,926.09,81.68,2026-06-03,12:33,STALE
TEGA,1829.5,1806.6,1875.24,,0.0069,1.52,0.004,72.3,1809.77,77.52,2026-06-03,12:33,STALE
THYROCARE,526.5,523.15,539.66,,0.0035,3.37,0.0043,55.1,522.88,89.18,2026-06-03,12:34,STALE
VLSFINANCE,230.97,230.25,236.74,,0.0023,3.14,0.0031,58.7,228.12,77.12,2026-06-03,12:35,STALE
WAAREEENER,3087.0,3075.3,3164.17,,0.004,1.68,0.0035,68.4,3070.42,72.52,2026-06-03,12:35,STALE
XELPMOC,97.66,96.7,100.1,,0.0042,5.59,0.007,59.2,97.09,95.92,2026-06-03,12:35,STALE
YASHO,2241.1,2225.0,2297.13,,0.0097,1.61,0.0036,70.5,2193.35,77.25,2026-06-03,12:35,STALE
YATRA,96.45,96.0,98.86,,0.0029,1.99,0.0034,58.8,95.48,71.46,2026-06-03,12:35,STALE
ALLTIME,228.46,227.12,234.17,,0.0065,1.9,0.0046,62.7,225.74,86.32,2026-06-04,07:14,STALE
BMWVENTLTD,59.74,59.3,61.23,,0.0077,6.91,0.0074,55.1,59.19,100.0,2026-06-04,07:15,STALE
