SYMBOL,VOLUME,%CHNG
GLOBALVECT,1000000,0.0
GLOBE,1000000,0.0
GLOBECIVIL,1000000,0.0
GLOBUSSPR,1000000,0.0
GLOSTERLTD,1000000,0.0
GLOTTIS,1000000,0.0
GMBREW,1000000,0.0
GMDCLTD,1000000,0.0
GMMPFAUDLR,1000000,0.0
GMRAIRPORT,1000000,0.0
GMRP&UI,1000000,0.0
GNA,1000000,0.0
GNFC,1000000,0.0
GOACARBON,1000000,0.0
GOCLCORP,1000000,0.0
GOCOLORS,1000000,0.0
GODAVARIB,1000000,0.0
GODFRYPHLP,1000000,0.0
GODIGIT,1000000,0.0
GODREJAGRO,1000000,0.0
GODREJCP,1000000,0.0
GODREJIND,1000000,0.0
GODREJPROP,1000000,0.0
GOKEX,1000000,0.0
GOKUL,1000000,0.0
GOKULAGRO,1000000,0.0
GOLDIAM,1000000,0.0
GOLDTECH,1000000,0.0
GOODLUCK,1000000,0.0
GOPAL,1000000,0.0
GPIL,1000000,0.0
GPPL,1000000,0.0
GPTHEALTH,1000000,0.0
GPTINFRA,1000000,0.0
GRANULES,1000000,0.0
GRAPHITE,1000000,0.0
GRASIM,1000000,0.0
GRAVITA,1000000,0.0
GREAVESCOT,1000000,0.0
GREENLAM,1000000,0.0
GREENPANEL,1000000,0.0
GREENPLY,1000000,0.0
GREENPOWER,1000000,0.0
GRINDWELL,1000000,0.0
GRINFRA,1000000,0.0
GRMOVER,1000000,0.0
GROBTEA,1000000,0.0
GROWW,1000000,0.0
GRPLTD,1000000,0.0
GRSE,1000000,0.0
GRWRHITECH,1000000,0.0
GSFC,1000000,0.0
GSPL,1000000,0.0
GSS,1000000,0.0
GTECJAINX,1000000,0.0
GTL,1000000,0.0
GTLINFRA,1000000,0.0
GTPL,1000000,0.0
GUFICBIO,1000000,0.0
GUJALKALI,1000000,0.0
GUJAPOLLO,1000000,0.0
GUJGASLTD,1000000,0.0
GUJTHEM,1000000,0.0
GULFOILLUB,1000000,0.0
GULFPETRO,1000000,0.0
GULPOLY,1000000,0.0
GVPIL,1000000,0.0
GVPTECH,1000000,0.0
GVT&D,1000000,0.0
HAL,1000000,0.0
HAPPSTMNDS,1000000,0.0
HAPPYFORGE,1000000,0.0
HARIOMPIPE,1000000,0.0
HARRMALAYA,1000000,0.0
HARSHA,1000000,0.0
HATHWAY,1000000,0.0
HATSUN,1000000,0.0
HAVELLS,1000000,0.0
HAVISHA,1000000,0.0
HBLENGINE,1000000,0.0
HCC,1000000,0.0
HCG,1000000,0.0
HCL-INSYS,1000000,0.0
HCLTECH,1000000,0.0
HDBFS,1000000,0.0
HDFCAMC,1000000,0.0
HDFCBANK,1000000,0.0
HDFCLIFE,1000000,0.0
HEADSUP,1000000,0.0
HECPROJECT,1000000,0.0
HEG,1000000,0.0
HEIDELBERG,1000000,0.0
HEMIPROP,1000000,0.0
HERANBA,1000000,0.0
HERITGFOOD,1000000,0.0
HEROMOTOCO,1000000,0.0
HESTERBIO,1000000,0.0
HEUBACHIND,1000000,0.0
HEXATRADEX,1000000,0.0
HEXT,1000000,0.0
HFCL,1000000,0.0
HGINFRA,1000000,0.0
HGM,1000000,0.0
HGS,1000000,0.0
HIKAL,1000000,0.0
HILINFRA,1000000,0.0
HILTON,1000000,0.0
HIMATSEIDE,1000000,0.0
HINDALCO,1000000,0.0
HINDCOMPOS,1000000,0.0
HINDCON,1000000,0.0
HINDCOPPER,1000000,0.0
HINDOILEXP,1000000,0.0
HINDPETRO,1000000,0.0
HINDUNILVR,1000000,0.0
HINDWAREAP,1000000,0.0
HINDZINC,1000000,0.0
HIRECT,1000000,0.0
HISARMETAL,1000000,0.0
HITECH,1000000,0.0
HITECHCORP,1000000,0.0
HLEGLAS,1000000,0.0
HLVLTD,1000000,0.0
HMAAGRO,1000000,0.0
HMVL,1000000,0.0
HNDFDS,1000000,0.0
HOMEFIRST,1000000,0.0
HONASA,1000000,0.0
HONAUT,1000000,0.0
HONDAPOWER,1000000,0.0
HPAL,1000000,0.0
HPIL,1000000,0.0
HPL,1000000,0.0
HSCL,1000000,0.0
HTMEDIA,1000000,0.0
HUBTOWN,1000000,0.0
HUDCO,1000000,0.0
HUHTAMAKI,1000000,0.0
HYUNDAI,1000000,0.0
IBULLSLTD,1000000,0.0
ICDSLTD,1000000,0.0
ICEMAKE,1000000,0.0
ICICIAMC,1000000,0.0
ICICIBANK,1000000,0.0
ICICIGI,1000000,0.0
ICICIPRULI,1000000,0.0
ICIL,1000000,0.0
ICRA,1000000,0.0
IDBI,1000000,0.0
IDEA,1000000,0.0
IDEAFORGE,1000000,0.0
IDFCFIRSTB,1000000,0.0
IEX,1000000,0.0
IFBAGRO,1000000,0.0
IFBIND,1000000,0.0
IFCI,1000000,0.0
IFGLEXPOR,1000000,0.0
IGARASHI,1000000,0.0
IGCL,1000000,0.0
IGIL,1000000,0.0
IGL,1000000,0.0
IGPL,1000000,0.0
IIFL,1000000,0.0
IIFLCAPS,1000000,0.0
IITL,1000000,0.0
IKIO,1000000,0.0
IKS,1000000,0.0
IMAGICAA,1000000,0.0
IMFA,1000000,0.0
IMPAL,1000000,0.0
INCREDIBLE,1000000,0.0
INDBANK,1000000,0.0
INDGN,1000000,0.0
INDHOTEL,1000000,0.0
INDIACEM,1000000,0.0
INDIAGLYCO,1000000,0.0
INDIAMART,1000000,0.0
INDIANB,1000000,0.0
INDIANCARD,1000000,0.0
INDIANHUME,1000000,0.0
INDIASHLTR,1000000,0.0
INDIGO,1000000,0.0
INDIGOPNTS,1000000,0.0
INDIQUBE,1000000,0.0
INDNIPPON,1000000,0.0
INDOAMIN,1000000,0.0
INDOBORAX,1000000,0.0
INDOCO,1000000,0.0
INDOFARM,1000000,0.0
INDORAMA,1000000,0.0
INDOSTAR,1000000,0.0
INDOTECH,1000000,0.0
INDOTHAI,1000000,0.0
INDOUS,1000000,0.0
INDOWIND,1000000,0.0
INDRAMEDCO,1000000,0.0
INDSWFTLAB,1000000,0.0
INDTERRAIN,1000000,0.0
INDUSINDBK,1000000,0.0
INDUSTOWER,1000000,0.0
INFIBEAM,1000000,0.0
INFOBEAN,1000000,0.0
INFOMEDIA,1000000,0.0
INFY,1000000,0.0
INGERRAND,1000000,0.0
INNOVACAP,1000000,0.0
INNOVANA,1000000,0.0
INOXGREEN,1000000,0.0
INOXINDIA,1000000,0.0
INOXWIND,1000000,0.0
INSECTICID,1000000,0.0
INSPIRISYS,1000000,0.0
INTELLECT,1000000,0.0
INTENTECH,1000000,0.0
INTERARCH,1000000,0.0
INTLCONV,1000000,0.0
INVENTURE,1000000,0.0
IOB,1000000,0.0
IOC,1000000,0.0
IOLCP,1000000,0.0
IONEXCHANG,1000000,0.0
IPCALAB,1000000,0.0
IPL,1000000,0.0
IRB,1000000,0.0
IRCON,1000000,0.0
IRCTC,1000000,0.0
IREDA,1000000,0.0
IRFC,1000000,0.0
IRIS,1000000,0.0
IRISDOREME,1000000,0.0
IRMENERGY,1000000,0.0
ISFT,1000000,0.0
ISGEC,1000000,0.0
ISHANCH,1000000,0.0
ITC,1000000,0.0
ITCHOTELS,1000000,0.0
ITDC,1000000,0.0
ITI,1000000,0.0
IVALUE,1000000,0.0
IVC,1000000,0.0
IVP,1000000,0.0
IXIGO,1000000,0.0
IZMO,1000000,0.0
J&KBANK,1000000,0.0
JAGRAN,1000000,0.0
JAGSNPHARM,1000000,0.0
JAIBALAJI,1000000,0.0
JAICORPLTD,1000000,0.0
JAINREC,1000000,0.0
JAIPURKURT,1000000,0.0
JAMNAAUTO,1000000,0.0
JARO,1000000,0.0
JASH,1000000,0.0
JAYAGROGN,1000000,0.0
